,2020-03-01
re000008OF,0.514675041467269
re000042OF,0.5557293660849948
re000051OF,0.5352272856901834
re000059OF,0.7130966355103525
re000082OF,0.8922986960886792
re000176OF,0.1611420601931753
re000248OF,0.1870697053811155
re000309OF,0.4857258636174312
re000311OF,0.4032914869853572
re000312OF,0.991322467266844
re000313OF,0.925260545717022
re000326OF,0.6489498476835427
re000368OF,0.6174926262247795
re000373OF,0.688653868245468
re000376OF,0.7240719592118658
re000409OF,0.4991895029779571
re000411OF,0.8582237592927209
re000418OF,0.0833274186616953
re000457OF,0.1369923474698775
re000471OF,0.0634939155317574
re000478OF,0.6342450016512757
re000512OF,0.0150775035389736
re000513OF,0.0456847835963941
re000524OF,0.5369485649958637
re000549OF,0.079709173160651
re000577OF,0.5158099556048457
re000586OF,0.4689094616083167
re000592OF,0.5260201140174475
re000594OF,0.9825033294537004
re000596OF,0.835584786837561
re000613OF,0.4949168058189064
re000628OF,0.379937552279815
re000656OF,0.9199126581781608
re000688OF,0.253278239880915
re000696OF,0.0685018144981466
re000697OF,0.9801915544843232
re000711OF,0.22153290082215
re000729OF,0.9319279201598444
re000746OF,0.0513967681758349
re000751OF,0.0012452719702105
re000756OF,0.9644158339214136
re000761OF,0.8437417324166522
re000778OF,0.0543597816636129
re000780OF,0.4493848446591724
re000793OF,0.5450156581577907
re000803OF,0.1145262651557627
re000826OF,0.802600728656395
re000827OF,0.8018496569407603
re000828OF,0.2957962344882319
re000831OF,0.0630151974962002
re000835OF,0.0504697272704993
re000854OF,0.4717837552244224
re000866OF,0.7077076770171652
re000867OF,0.5502962465734471
re000884OF,0.5702063917243547
re000893OF,0.0377097879850094
re000913OF,0.0802671094207219
re000916OF,0.5263292711666618
re000925OF,0.7360032029584254
re000942OF,0.3729724174444428
re000948OF,0.8096347818067351
re000950OF,0.177466005398004
re000955OF,0.9144331522525092
re000960OF,0.0252071363047085
re000961OF,0.4446887485494118
re000962OF,0.9858347744706766
re000968OF,0.917698606587557
re000971OF,0.6293940515555201
re000974OF,0.4083261358725747
re000975OF,0.7356350724421955
re000978OF,0.5386907479615333
re000979OF,0.6370552916661483
re000985OF,0.3902287038731774
re000991OF,0.0044785468536877
re000996OF,0.513885369573376
re001008OF,0.469692474429045
re001009OF,0.4316937915209176
re001015OF,0.4392604659582555
re001016OF,0.5900782867164236
re001027OF,0.1066506764306441
re001028OF,0.1791567168223552
re001036OF,0.2534351697964438
re001039OF,0.4809612915519778
re001040OF,0.2900408981483735
re001042OF,0.6075837693260651
re001043OF,0.004983721178589
re001044OF,0.6650134695166323
re001047OF,0.0469552309083314
re001048OF,0.4967032682541928
re001050OF,0.1283593828678892
re001051OF,0.4377138271048592
re001052OF,0.7996976789760379
re001054OF,0.0185693746694676
re001064OF,0.1726958307066043
re001070OF,0.2297118627226516
re001072OF,0.1187132066745877
re001097OF,0.8144516768639345
re001104OF,0.0250034816506104
re001105OF,0.7655632229822169
re001113OF,0.3763419101216272
re001126OF,0.1962486137673963
re001133OF,0.0158472313278865
re001149OF,0.2883499831715626
re001158OF,0.9072155433657736
re001162OF,0.8296552441269343
re001163OF,0.4963949503844845
re001166OF,0.1690862446482988
re001167OF,0.4950596465058906
re001171OF,0.0418150642717481
re001178OF,0.3659061672933612
re001180OF,0.5302503559017768
re001186OF,0.0511122461139681
re001188OF,0.9087348126011974
re001193OF,0.4278808228231594
re001195OF,0.4826466086333251
re001208OF,0.0414413095831447
re001214OF,0.8671268881723695
re001223OF,0.6167680355989842
re001230OF,0.4187802903440447
re001236OF,0.0837297476299782
re001237OF,0.1347047633017301
re001241OF,0.8238858733732577
re001242OF,0.4900580275228323
re001243OF,0.4880636104019162
re001245OF,0.165693509650047
re001277OF,0.8485535278639236
re001291OF,0.0147099516993584
re001313OF,0.4295766381511351
re001319OF,0.653902467875261
re001351OF,0.9622638657989452
re001361OF,0.6227038727572884
re001396OF,0.9638003678069867
re001397OF,0.6344093556590183
re001404OF,0.8636650717063472
re001409OF,0.3837955879495287
re001410OF,0.0042367555885203
re001416OF,0.197452781001269
re001420OF,0.6355539861388757
re001421OF,0.840173410063481
re001426OF,0.5485889715246896
re001455OF,0.94209256438678
re001469OF,0.0758572008298887
re001473OF,0.2719616468088326
re001476OF,0.6293848587223518
re001482OF,0.1485537335109616
re001490OF,0.9011114011605692
re001496OF,0.2575630432921781
re001521OF,0.5452993692570335
re001528OF,0.9670759526868168
re001539OF,0.163525699727589
re001541OF,0.3891620886359841
re001542OF,0.8813252074383566
re001548OF,0.1103120208357016
re001549OF,0.1307753579765975
re001550OF,0.3253713482906293
re001551OF,0.3428124163156877
re001552OF,0.0629019113425019
re001553OF,0.068117909945362
re001577OF,0.589192913284913
re001583OF,0.5488170945339284
re001588OF,0.0224426889954833
re001589OF,0.031504938040135
re001592OF,0.410880319485607
re001593OF,0.43056933364809
re001594OF,0.1037663028636822
re001595OF,0.1208868211761524
re001605OF,0.0392496800376719
re001616OF,0.3381966013021499
re001617OF,0.5941623371215128
re001618OF,0.6072225443199132
re001626OF,0.2673268574931418
re001628OF,0.5880284825913319
re001629OF,0.1829211591227276
re001630OF,0.1908365294750047
re001631OF,0.3406480965267945
re001632OF,0.3524821721195841
re001637OF,0.0988003361278997
re001638OF,0.839065638639887
re001643OF,0.488009663056146
re001644OF,0.5096510753714512
re001645OF,0.034885614124521
re001651OF,0.3029823652628315
re001672OF,0.6762861099038886
re001677OF,0.3203496068723452
re001685OF,0.3179382353683584
re001692OF,0.4111134720633809
re001703OF,0.945529307637098
re001705OF,0.56098217869264
re001714OF,0.1218405105350924
re001717OF,0.0158314001889402
re001718OF,0.1759290343476894
re001719OF,0.0474880139756047
re001725OF,0.8138372043719728
re001726OF,0.8003986094834531
re001733OF,0.785792132952674
re001736OF,0.1311610716745003
re001764OF,0.080330755026645
re001766OF,0.0059377982878895
re001781OF,0.5091616754503481
re001825OF,0.8873325684017197
re001849OF,0.0280929167190555
re001877OF,0.8508935752764704
re001878OF,0.2378197938832665
re001899OF,0.680672039432649
re001915OF,0.2081486518013513
re001917OF,0.1621971621244112
re001938OF,0.0563383006255005
re001956OF,0.5091398998290897
re001974OF,0.1490159817673957
re001975OF,0.0444368035276429
re002063OF,0.0147348573974288
re002121OF,0.8139676098803863
re002168OF,0.2180115840076418
re002199OF,0.7996577462987137
re002210OF,0.0023372562528665
re002229OF,0.4174336760749479
re002236OF,0.0003623175463966
re002300OF,0.1685827142320245
re002310OF,0.8656712790896275
re002311OF,0.1013209185891717
re002315OF,0.8989786267721298
re002316OF,0.0969977038719301
re002332OF,0.951920949795422
re002333OF,0.9726021794428734
re002334OF,0.8591840090746464
re002335OF,0.7275984486723512
re002385OF,0.7850330184380718
re002387OF,0.4452047373013111
re002510OF,0.5069358152300713
re002556OF,0.101931556404097
re002595OF,0.0570569672642379
re002621OF,0.0238874274637297
re002656OF,0.3352311246177796
re002670OF,0.8639495678893149
re002671OF,0.3060913323350195
re002697OF,0.0246416266636878
re002871OF,0.2063341446652916
re002872OF,
re002900OF,0.1639978217167692
re002903OF,0.6122588873518591
re002906OF,0.7051135430638216
re002907OF,0.759240750020076
re002952OF,0.560412065308747
re002974OF,0.3853855643810191
re002977OF,0.0135784362376179
re002978OF,0.5482531716932932
re002979OF,0.0929008177618304
re002980OF,0.0666370135039973
re002982OF,0.8769267717379797
re002984OF,0.158319779026152
re002987OF,0.6060147833470801
re003015OF,0.1633729008683399
re003016OF,0.0795723854955309
re003017OF,0.8605732441308787
re003053OF,0.2811260663249665
re003054OF,0.3048038911217419
re003145OF,0.476246569222014
re003190OF,0.1079250250329047
re003191OF,0.1092188168276416
re003194OF,0.0725292362028029
re003230OF,0.0164092561111647
re003231OF,0.0095649122078649
re003232OF,0.5046311324125046
re003233OF,0.490526835634276
re003298OF,0.0960423740020424
re003299OF,0.1056852625444056
re003318OF,0.1530376912015695
re003359OF,0.0005269347942963
re003366OF,0.5250018948444657
re003416OF,0.6008039741301374
re003475OF,0.310070397166245
re003548OF,0.1544591342143018
re003578OF,0.0805260804600245
re003579OF,0.0965808921316034
re003624OF,0.7996731761883757
re003625OF,0.8333244069538829
re003634OF,0.255429589683454
re003646OF,0.0005707415690622
re003647OF,0.0007737281282744
re003853OF,0.0234454520438007
re003865OF,0.0054991625029633
re003876OF,0.1424191784827425
re003884OF,0.5371273991807588
re003885OF,0.8168696892532867
re003956OF,0.2002354201513498
re003957OF,0.7491387439696704
re003958OF,0.8482465522820376
re003984OF,0.2613737918185478
re003985OF,0.2695945064206
re003986OF,0.1199683923525898
re004069OF,0.1008435003658312
re004070OF,0.1112181056425555
re004075OF,0.0037757815424337
re004189OF,0.996124477272868
re004190OF,0.1143499826260407
re004191OF,0.1582714890507988
re004194OF,0.0624813282986179
re004195OF,0.0556602286103526
re004241OF,0.0713995677565059
re004342OF,0.3783326101905864
re004343OF,0.3606959593764349
re004344OF,0.3335514546624225
re004345OF,0.914910297257608
re004346OF,0.279003613973432
re004347OF,0.1757702782473702
re004348OF,0.7108136746755866
re004408OF,0.4918379557046638
re004409OF,0.9846079810428842
re004410OF,0.8547580886674717
re020011OF,0.472257530853599
re020021OF,0.4584585995008964
re040002OF,0.6379062066054602
re040180OF,0.4653074311809749
re040190OF,0.3610641970436855
re050002OF,0.7417256020307172
re050013OF,0.503484385531146
re050021OF,0.2212508124158303
re050024OF,0.909448567970676
re070023OF,0.3523894734188496
re070030OF,0.7761368552057277
re090010OF,0.9256968192868956
re090012OF,0.7021302206969706
re100032OF,0.2191964060970703
re100038OF,0.3053027374845003
re100053OF,0.953151621537388
re110003OF,0.1064085801809795
re110019OF,0.5589359572268606
re110020OF,0.383844732824922
re110021OF,0.3382459101078303
re110022OF,0.5684428929600034
re110026OF,0.4641227613055826
re110030OF,0.306767910179232
re159901OF,0.5626366092059457
re159902OF,0.9494465901384528
re159903OF,0.8336503486268784
re159905OF,0.4784086165833419
re159906OF,0.6253485382429266
re159907OF,0.8557177719840714
re159908OF,0.169975038086402
re159909OF,0.6844318570190115
re159910OF,0.3492123717474414
re159912OF,0.9008405709665596
re159913OF,0.9721516672533264
re159915OF,0.3769418243345129
re159916OF,0.1968583070450931
re159918OF,0.8361360093641352
re159919OF,0.9130191890468548
re159922OF,0.9522344498201956
re159923OF,0.5265154424751476
re159925OF,0.2452530456610613
re159928OF,0.1912147933600282
re159929OF,0.7552938803916195
re159930OF,0.0250078716971597
re159931OF,0.2960665727592785
re159932OF,0.607603762195519
re159933OF,0.0368970592024332
re159935OF,0.8726057157600547
re159936OF,0.019813281317861
re159938OF,0.5007999312273855
re159939OF,0.3501062328505259
re159940OF,0.0353272772498154
re159943OF,0.7638708938644193
re159944OF,0.9032976225014636
re159945OF,0.061753603746801
re159948OF,0.3700671921907997
re159949OF,0.5766942818261399
re160119OF,0.8063933707440311
re160133OF,0.005473346868907
re160135OF,0.1861693781501767
re160137OF,0.590421271872446
re160218OF,0.5394230720728415
re160219OF,0.6020032580771162
re160221OF,0.8214878917312929
re160222OF,0.947651069955454
re160223OF,0.3581139427250414
re160225OF,0.8959625102237513
re160322OF,0.2258003550439138
re160516OF,0.3260616925773533
re160517OF,0.2174580154851765
re160615OF,0.1860208169504252
re160616OF,0.8741682264103664
re160620OF,0.9007767045125112
re160625OF,0.368000443729381
re160626OF,0.7140969033048703
re160628OF,0.6695026268702418
re160629OF,0.239233924630856
re160630OF,0.5745855298862617
re160631OF,0.8687116932088297
re160632OF,0.9035494104908398
re160633OF,0.4611863898863173
re160634OF,0.0514337700133122
re160635OF,0.8391460938987007
re160636OF,0.8588875884712681
re160637OF,0.2689975657521789
re160638OF,0.6456140596057421
re160639OF,0.7582399605478712
re160706OF,0.9612480850070644
re160716OF,0.6077860359497825
re160806OF,0.625289389205717
re160807OF,0.8597111923054171
re160814OF,0.333582060444173
re160919OF,0.0288549939315784
re161017OF,0.195248376475226
re161022OF,0.2485482853854547
re161024OF,0.1948578099939795
re161025OF,0.4778303085029874
re161026OF,0.0322345568351185
re161027OF,0.4445798825224945
re161028OF,0.7368533560025787
re161029OF,0.2752086293002836
re161030OF,0.4271535991839239
re161031OF,0.7590451765950217
re161032OF,0.4695593312526446
re161033OF,0.5085324743304328
re161035OF,0.0795377997065379
re161036OF,0.1130268903013789
re161121OF,0.3076368391554888
re161122OF,0.1917146044646108
re161123OF,0.8614786763396067
re161211OF,0.0310532857869786
re161217OF,0.941806778632278
re161227OF,0.6499848699925008
re161604OF,0.3842733839997482
re161607OF,0.1912510218729843
re161612OF,0.560380436440203
re161613OF,0.4638609313929874
re161718OF,0.6585503044278673
re161720OF,0.3374079923671322
re161721OF,0.0774318724345207
re161723OF,0.3163400485441742
re161724OF,0.6977400656233816
re161725OF,0.6096082057887277
re161726OF,0.7682205898528316
re161811OF,0.6134329692842141
re161812OF,0.8068646827429803
re161907OF,0.9375677681858604
re162107OF,0.2042550633669668
re162208OF,0.907134631164226
re162213OF,0.1659597057901619
re162216OF,0.3643079116061077
re162307OF,0.8030973021995407
re162413OF,0.7199668941251549
re162509OF,0.7759600467492661
re162510OF,0.4265611366805718
re162711OF,0.6659585193801304
re162714OF,0.6887671863086788
re162907OF,0.6204556504917504
re163109OF,0.4384820437978011
re163110OF,0.1142977923873361
re163113OF,0.5959761881159527
re163114OF,0.6425393970936769
re163115OF,0.6911300232533559
re163118OF,0.636563594597382
re163209OF,0.5460636571522701
re163407OF,0.0647922981040787
re163808OF,0.0560173844211909
re163821OF,0.5550772560957186
re164205OF,0.2928695616524437
re164304OF,0.3181841262554467
re164401OF,0.4298298177496578
re164402OF,0.6968372112398439
re164508OF,0.210275567236862
re164809OF,0.3067357709174457
re164811OF,0.7067285326409833
re164908OF,0.0004365166566652
re165309OF,0.2349649438952417
re165310OF,0.6231382699931769
re165312OF,0.4536230749048712
re165511OF,0.663068141477938
re165515OF,0.2079738617924487
re165519OF,0.807406810312099
re165520OF,0.959999214492132
re165521OF,0.4801066545359065
re165522OF,0.7378154636774318
re165523OF,0.1469469471689171
re165524OF,0.7451614548804107
re165525OF,0.001473056901754
re165806OF,0.032596788079806
re166802OF,0.4901680708835743
re167301OF,0.865523286313111
re167503OF,0.6616880174539941
re167702OF,0.0009422282890986
re167703OF,0.001677396045225
re168203OF,0.2711209534999794
re168204OF,0.9700179318993662
re180003OF,0.9989759027020704
re200002OF,0.2449812283959698
re202015OF,0.3155049078141141
re202017OF,0.8237206805000742
re202021OF,0.3475107194142715
re202025OF,0.9535436639460068
re202211OF,0.1516377459176961
re206012OF,0.5580928261096508
re213010OF,0.0043601984433797
re217016OF,0.3016513219030046
re217017OF,0.9765909930626872
re217019OF,0.7066517452093459
re217027OF,0.6027012982114957
re233010OF,0.8581527206841645
re240014OF,0.0978522818264813
re240016OF,0.0895729956016321
re257060OF,0.8512759885427295
re270010OF,0.4819940260586798
re270026OF,0.7111369208319152
re290010OF,0.8823702457466605
re310318OF,0.1990827302361077
re310398OF,0.3523678951472225
re320010OF,0.4092552491793504
re320014OF,0.7001101827950107
re320020OF,0.2203260454936523
re320022OF,0.001945451339182
re340006OF,0.3155252499798257
re360001OF,0.115237093804266
re370023OF,0.5946133457029618
re376510OF,0.9905673151700845
re399001OF,0.6850030295352012
re399011OF,0.7653256716732617
re410008OF,0.0035258375493488
re410010OF,0.4808636782148232
re450008OF,0.2372853850308415
re450009OF,0.5921342506854057
re460220OF,0.2263867552444903
re460300OF,0.0004597556582573
re470007OF,0.2200983968296165
re470068OF,0.911685379827356
re481009OF,0.3017818843827262
re481012OF,0.4801780504896605
re501005OF,0.2636240000781518
re501006OF,0.2824900356191843
re501007OF,0.3913588421247203
re501008OF,0.4105490876812537
re501009OF,0.0873834665229542
re501010OF,0.0838126429830985
re501011OF,0.132142232431211
re501012OF,0.1239073661259334
re501019OF,0.7946455309126764
re501025OF,0.8741975622044462
re501029OF,0.5978076732099868
re501030OF,0.0012447758654375
re501031OF,0.0012050502137072
re501050OF,0.0797845347754236
re502000OF,0.4714306852255345
re502003OF,0.1746682201375429
re502006OF,0.3876075662216759
re502010OF,0.25331203640841
re502013OF,0.170579161018083
re502020OF,0.6148117425420676
re502023OF,0.5228087968143771
re502048OF,0.4175745580112076
re502053OF,0.7519055078132516
re502056OF,0.7852980447019259
re510010OF,0.84594486641578
re510020OF,0.2923359814684242
re510030OF,0.0564358460148433
re510050OF,0.842384624006443
re510060OF,0.4699625656513462
re510090OF,0.1081404878228554
re510110OF,0.3110707833455368
re510120OF,0.3146609671851882
re510130OF,0.3444177228398069
re510150OF,0.9778077539631608
re510160OF,0.3395156305784902
re510170OF,0.818195279391886
re510180OF,0.7867694004023528
re510190OF,0.4316982811270353
re510210OF,0.7590412459588347
re510220OF,0.1753439484809701
re510230OF,0.9925782052068708
re510270OF,0.6142067651967617
re510290OF,0.9533268031554988
re510300OF,0.7930531395052195
re510310OF,0.3596075645939992
re510330OF,0.1798689936892014
re510360OF,0.356250267780998
re510410OF,0.8900110857124183
re510440OF,0.5193979559657562
re510500OF,0.8763180766260168
re510510OF,0.8795532869250278
re510560OF,0.8232168746172661
re510580OF,0.94558681118813
re510630OF,0.2003915464816561
re510650OF,0.0820120502396322
re510660OF,0.4772920459438603
re510680OF,0.1611211893114837
re510710OF,0.0751426011061228
re510810OF,0.0558890549547668
re510880OF,0.1863970788875769
re512000OF,0.1245856957634993
re512010OF,0.5657987030779814
re512070OF,0.1887663659256057
re512100OF,0.9862131455803236
re512120OF,0.7032912296666061
re512220OF,0.5867779237453439
re512330OF,0.1469151049109109
re512500OF,0.9209950858378266
re512510OF,0.7629218647118027
re512580OF,0.2962169108011799
re512600OF,0.2622547494352352
re512610OF,0.9039877833806234
re512640OF,0.1548170087256143
re512660OF,0.8597076496234216
re512680OF,0.979595581900869
re512810OF,0.8336859855882588
re512880OF,0.1298450710373831
re512900OF,0.1178041737195382
re512990OF,0.3292426972510723
re513660OF,0.8377534001054082
re519027OF,0.4082045266284038
re519032OF,0.1964382813776226
re519034OF,0.6545957077699907
re519100OF,0.178966186104122
re519116OF,0.5456427740409684
re519117OF,0.5821198854621241
re519180OF,0.6331224899993738
re519193OF,0.0027635054233342
re519300OF,0.2912008962920072
re519606OF,0.9679985528069356
re519671OF,0.4660009825381511
re519673OF,0.0285975312309423
re519677OF,0.1821621058303383
re519686OF,0.8800023620762648
re519706OF,0.9432064469202728
re519714OF,0.4573309393043455
re519935OF,0.6455411186726964
re519965OF,0.7923326489704899
re519975OF,0.6959112812760038
re530010OF,0.1382378114132159
re530015OF,0.1893752505707592
re530018OF,0.8152314909556448
re540006OF,0.0691968936075479
re540007OF,0.1062167448451226
re540008OF,0.8649160845907102
re540009OF,0.5428629155507566
re540010OF,0.5221702509825519
re540012OF,0.2907292199035948
re580008OF,0.7484685240802249
re585001OF,0.9713623381980632
re590007OF,0.2878693772989408
re660008OF,0.37220177332017
re660011OF,0.4815153452157074
re673090OF,0.4187609437075665
re673100OF,0.2279661362601492
re690008OF,0.6898499460075527
re700002OF,0.6339495755362158
re740101OF,0.1959563096956489
re960000OF,0.0740962884905798
re960022OF,0.2102375849970549
