,2020/03
re000008OF,0.9154325077491905
re000042OF,0.5634445743174117
re000051OF,0.9795981415394871
re000059OF,0.8083850229225603
re000082OF,0.6048890123343577
re000176OF,0.9764745772982083
re000248OF,0.7302738439818828
re000309OF,0.7891677574316192
re000311OF,0.7000330431231885
re000312OF,0.688318909709506
re000313OF,0.6806247671647367
re000326OF,0.42424925338579855
re000368OF,0.9313288753402891
re000373OF,0.7336283966994681
re000376OF,0.7347094645563884
re000409OF,0.5871856698774018
re000411OF,0.890318489471922
re000418OF,0.735723352976589
re000457OF,0.6668444728951437
re000471OF,0.7265917811862426
re000478OF,0.9347261851132702
re000512OF,0.5050529534607313
re000513OF,0.8552039629168756
re000524OF,0.6564232111495985
re000549OF,0.773050757808654
re000577OF,0.7848555404400438
re000586OF,0.6011274965441773
re000592OF,0.7949120296863321
re000594OF,0.7541548955160603
re000596OF,0.693932828817559
re000613OF,0.8679215174396229
re000628OF,0.8438167199366272
re000656OF,0.8871906059420582
re000688OF,0.9274813857236096
re000696OF,0.7476665747970517
re000697OF,0.6001803750094477
re000711OF,0.7491765478239198
re000729OF,0.7529217213022913
re000746OF,0.8007538583011868
re000751OF,0.8475526288261466
re000756OF,0.8177552894072138
re000761OF,0.880940336979937
re000778OF,0.8876934534937252
re000780OF,0.7186283961016674
re000793OF,0.740512497775522
re000803OF,0.7216004877391484
re000826OF,0.7101810452594337
re000827OF,0.711463616500738
re000828OF,0.7330854363448569
re000831OF,0.6801964873652465
re000835OF,0.9457386987478874
re000854OF,0.866110217751106
re000866OF,0.7367706196294981
re000867OF,0.8232669860411462
re000884OF,0.7701147016612745
re000893OF,0.7869114999535326
re000913OF,0.7764804546321837
re000916OF,0.8908838556152576
re000925OF,0.6184003573018242
re000942OF,0.7481656341097637
re000948OF,0.6397181373613114
re000950OF,0.8499280053315992
re000955OF,0.6351961243129138
re000960OF,0.7159787143762162
re000961OF,0.9789021788433506
re000962OF,0.9389905715232035
re000968OF,0.8579488293288258
re000971OF,0.6397695751282684
re000974OF,0.8067996033647761
re000975OF,0.9516067210700263
re000978OF,0.8990521957291872
re000979OF,0.696797287651725
re000985OF,0.7082717280865274
re000991OF,0.7363498841169327
re000996OF,0.6875982329677709
re001008OF,0.9371806695793239
re001009OF,0.8171324519716953
re001015OF,0.9580246581072512
re001016OF,0.9577244658387034
re001027OF,0.6660336190493976
re001028OF,0.7794425686571579
re001036OF,0.7695674007305732
re001039OF,0.7482971708195929
re001040OF,0.7869754389343284
re001042OF,0.7793868586586647
re001043OF,0.839893573968846
re001044OF,0.7362074988566696
re001047OF,0.8466886983816511
re001048OF,0.5838489912082212
re001050OF,0.9173396246840231
re001051OF,0.9452270973220099
re001052OF,0.9383722249552339
re001054OF,0.8011762018262102
re001064OF,0.853115110884466
re001070OF,0.8057182500952862
re001072OF,0.6863516878056488
re001097OF,0.7125698795025377
re001104OF,0.8373866925380216
re001105OF,0.8453044667193219
re001113OF,0.8512933243434373
re001126OF,0.7936242543049686
re001133OF,0.9045278347120048
re001149OF,0.5175518032990076
re001158OF,0.6842337170114883
re001162OF,0.5648300859854288
re001163OF,0.8958352648453742
re001166OF,0.7370784054171804
re001167OF,0.7092284217763667
re001171OF,0.6702407321474311
re001178OF,0.7138973193500605
re001180OF,0.798086292356919
re001186OF,0.8197379774194296
re001188OF,0.8946560471065225
re001193OF,0.8214472469501941
re001195OF,0.5880337144798138
re001208OF,0.8510280152640757
re001214OF,0.9343065765581208
re001223OF,0.7715433405811638
re001230OF,0.7320019967612221
re001236OF,0.710015139283932
re001237OF,0.9443746378130505
re001241OF,0.941860959420834
re001242OF,0.9096732816673792
re001243OF,0.9096725831927356
re001245OF,0.739019799803888
re001277OF,0.9155351325444859
re001291OF,0.9449636609220667
re001313OF,0.6048587704746704
re001319OF,0.6171491718688842
re001351OF,0.9089078106829477
re001361OF,0.7180593361156989
re001396OF,0.8776292998144086
re001397OF,0.8786413049478716
re001404OF,0.6995515669912815
re001409OF,0.7353781552573524
re001410OF,0.5750279608284659
re001416OF,0.8979980368469925
re001420OF,0.9111540757193752
re001421OF,0.8075711848266196
re001426OF,0.9110484961143069
re001455OF,0.9396260715762887
re001469OF,0.9292024309227056
re001473OF,0.7959294002930569
re001476OF,0.6476617211179012
re001482OF,0.8217853133420538
re001490OF,0.8698283558164582
re001496OF,0.7343636441737402
re001521OF,0.6609030821951567
re001528OF,0.8166039232347045
re001539OF,0.9249107147921504
re001541OF,0.792599781058721
re001542OF,0.6686312829703827
re001548OF,0.9453669531685873
re001549OF,0.9453385347298671
re001550OF,0.798190789812927
re001551OF,0.798294237556519
re001552OF,0.8329734099926884
re001553OF,0.8331136975197907
re001577OF,0.8168501899215604
re001583OF,0.6887927104547933
re001588OF,0.9761446041503141
re001589OF,0.9761488214570744
re001592OF,0.7901197551895274
re001593OF,0.7898715252877891
re001594OF,0.9369257716606733
re001595OF,0.9368929351556369
re001605OF,0.7589936783751359
re001616OF,0.5590370193420915
re001617OF,0.6251258949246893
re001618OF,0.6251038519153987
re001626OF,0.8130095838583219
re001628OF,0.8461460551076607
re001629OF,0.7459534215229386
re001630OF,0.7463507174205946
re001631OF,0.697579032925751
re001632OF,0.6976978435028345
re001637OF,0.8828486150761892
re001638OF,0.564668256534842
re001643OF,0.4783834999850113
re001644OF,0.4787992669946234
re001645OF,0.760721758721334
re001651OF,0.8925174100353631
re001672OF,0.627454242452341
re001677OF,0.8941419852666996
re001685OF,0.5160219249020863
re001692OF,0.7601764080751011
re001703OF,0.8928962542976083
re001705OF,0.7436151815940619
re001714OF,0.6500665799729516
re001717OF,0.6707837213162383
re001718OF,0.7095622553707712
re001719OF,0.8600021661837716
re001725OF,0.8927773356479914
re001726OF,0.8106495290814943
re001733OF,0.9284981721374539
re001736OF,0.8331550305980837
re001764OF,0.7599689593342107
re001766OF,0.7080901934671787
re001781OF,0.8050114840414707
re001825OF,0.7927795590660836
re001849OF,0.9077962118004802
re001877OF,0.6738775358134883
re001878OF,0.846984999322498
re001899OF,0.8011093144743878
re001915OF,0.7543401590982254
re001917OF,0.9188126328168658
re001938OF,0.7110396731464492
re001956OF,0.5519928827848686
re001974OF,0.9434574141067551
re001975OF,0.7171272594315975
re002063OF,0.4987640022804296
re002121OF,0.6696962263466599
re002168OF,0.5496892017157518
re002199OF,0.6992211835185034
re002210OF,0.9577305508913092
re002229OF,0.456580571658898
re002236OF,0.94236893243237
re002300OF,0.6595179749888862
re002310OF,0.7800184553247957
re002311OF,0.9321850460944612
re002315OF,0.7684989674588968
re002316OF,0.932446732151223
re002332OF,0.7513594733294018
re002333OF,0.7508369145513464
re002334OF,0.8864641840557106
re002335OF,0.8865131283563356
re002385OF,0.96713669981692
re002387OF,0.733972912277566
re002510OF,0.8521944062156901
re002556OF,0.7102666409969198
re002595OF,0.7575916151972106
re002621OF,0.6892179477293723
re002656OF,0.7940938908497098
re002670OF,0.8727568442736349
re002671OF,0.5117241208378438
re002697OF,0.6908209132147216
re002871OF,0.7365611304468509
re002872OF,
re002900OF,0.7254976378984994
re002903OF,0.9409401074800379
re002906OF,0.8605801037007104
re002907OF,0.8592047963734231
re002952OF,0.8990360307001432
re002974OF,0.748244379425343
re002977OF,0.9047566845660339
re002978OF,0.7987164146809428
re002979OF,0.92886715735126
re002980OF,0.7287328348221143
re002982OF,0.8583775406141422
re002984OF,0.8532060344168088
re002987OF,0.9800287030526158
re003015OF,0.9461407744435937
re003016OF,0.9223614415414153
re003017OF,0.6898864743248221
re003053OF,0.7148811776316861
re003054OF,0.7164980238582808
re003145OF,0.6742626057341083
re003190OF,0.2668013025299012
re003191OF,0.2493703511795884
re003194OF,0.8368022511141175
re003230OF,0.4117959563422441
re003231OF,0.4022769816896228
re003232OF,0.585275073631357
re003233OF,0.5788427778371786
re003298OF,0.7585106203169246
re003299OF,0.7546363531944014
re003318OF,0.9483046351793781
re003359OF,0.9436911132073904
re003366OF,0.8641417945700101
re003416OF,0.8895151351721217
re003475OF,0.954886436027373
re003548OF,0.9523385655291451
re003578OF,0.9215968161074233
re003579OF,0.9559926380683809
re003624OF,0.5025031946526786
re003625OF,0.4973241984978928
re003634OF,0.501990390905461
re003646OF,0.9531660241217296
re003647OF,0.9533937593265684
re003853OF,0.4764820574823708
re003865OF,0.9578932830159798
re003876OF,0.938889248554755
re003884OF,0.6414264575194686
re003885OF,0.7476194648897216
re003956OF,0.5943095667672602
re003957OF,0.9171276675004564
re003958OF,0.9145175291540024
re003984OF,0.5094275736925278
re003985OF,0.512662825562975
re003986OF,0.8647343460338397
re004069OF,0.7726459618545599
re004070OF,0.7724792637415787
re004075OF,0.6975009009268986
re004189OF,0.26737167294296094
re004190OF,0.9676939381423092
re004191OF,0.9677818513830141
re004194OF,0.9315377995033723
re004195OF,0.9295172736409822
re004241OF,0.7095973305003809
re004342OF,0.9758050513455109
re004343OF,0.7943170880545054
re004344OF,0.8510783353792007
re004345OF,0.9302007319049331
re004346OF,0.9388365912035512
re004347OF,0.7246237570831786
re004348OF,0.9411842297088929
re004408OF,0.9405540056561521
re004409OF,0.7189848298039954
re004410OF,0.9521775272694474
re020011OF,0.9804896522682092
re020021OF,0.6597440430585091
re040002OF,0.9557701396785286
re040180OF,0.9728282469421307
re040190OF,0.9325617185334347
re050002OF,0.9656530507363629
re050013OF,0.9455616854652416
re050021OF,0.8036988313038431
re050024OF,0.668411160289663
re070023OF,0.9141540363535928
re070030OF,0.8564208089073738
re090010OF,0.6929242987454995
re090012OF,0.7168355129056664
re100032OF,0.5859816853547062
re100038OF,0.7903270610809313
re100053OF,0.9797534758918549
re110003OF,0.8716261224820682
re110019OF,0.9366372207714593
re110020OF,0.9798041847128506
re110021OF,0.9646007823232614
re110022OF,0.8151818191628842
re110026OF,0.78822851956463
re110030OF,0.9391069706980276
re159901OF,0.935545529981731
re159902OF,0.8473060377331308
re159903OF,0.9295246948916096
re159905OF,0.8711457929069546
re159906OF,0.7085283148387
re159907OF,0.8694143414606464
re159908OF,0.8140900559901517
re159909OF,0.7030194668935501
re159910OF,0.9149555302237515
re159912OF,0.9299200259565388
re159913OF,0.913504710068878
re159915OF,0.8014684648411345
re159916OF,0.8932912672409719
re159918OF,0.8527911441821421
re159919OF,0.8666130798327578
re159922OF,0.9401389073871551
re159923OF,0.9574935329095396
re159925OF,0.9789783148312873
re159928OF,0.7320047487617365
re159929OF,0.7513221388818192
re159930OF,0.8280918652146612
re159931OF,0.9261509650706871
re159932OF,0.8901769927023846
re159933OF,0.9194001493417628
re159935OF,0.9388091129739516
re159936OF,0.9060303534776246
re159938OF,0.796701677835732
re159939OF,0.7470765048938977
re159940OF,0.9296699493398365
re159943OF,0.9287587251987952
re159944OF,0.8237881995920906
re159945OF,0.8584272163958954
re159948OF,0.801566002222603
re159949OF,0.7546477692101194
re160119OF,0.9413548156410663
re160133OF,0.8508595169664415
re160135OF,0.787900842564757
re160137OF,0.23892954335564343
re160218OF,0.06985870372258574
re160219OF,0.2305833905045943
re160221OF,0.5453218501985008
re160222OF,0.38859785035044747
re160223OF,0.7977166248344147
re160225OF,0.6197200368557242
re160322OF,0.5701851397314377
re160516OF,0.835404357876514
re160517OF,0.8952773662601542
re160615OF,0.975683530094168
re160616OF,0.932668201947964
re160620OF,0.6791755439927945
re160625OF,0.8386352996459409
re160626OF,0.556297338961748
re160628OF,0.6473601627669908
re160629OF,0.4253717294248762
re160630OF,0.20070653357978763
re160631OF,0.9242792317109982
re160632OF,0.22663996655210716
re160633OF,0.2567301449478675
re160634OF,0.8476373829546524
re160635OF,0.7535829994870822
re160636OF,0.7253165578131129
re160637OF,0.20796563394530332
re160638OF,0.05368555536533193
re160639OF,0.12611644195098004
re160706OF,0.9741453822995911
re160716OF,0.9639515826027762
re160806OF,0.8954810676510747
re160807OF,0.9286626500143158
re160814OF,0.9132436898065862
re160919OF,0.8522608575418389
re161017OF,0.7412107947529492
re161022OF,0.21605780820240084
re161024OF,0.24687033138230197
re161025OF,0.16901477919857677
re161026OF,0.9237570754725954
re161027OF,0.20211850082233007
re161028OF,0.16766343360796987
re161029OF,0.8992804813219579
re161030OF,0.197291519348323
re161031OF,0.35529584268143344
re161032OF,0.6056334219963865
re161033OF,0.599177870125443
re161035OF,0.7600660709003795
re161036OF,0.8492483862221778
re161121OF,0.9062605004682465
re161122OF,0.7453111393526604
re161123OF,0.07160663852234217
re161211OF,0.920352260503197
re161217OF,0.6950130468940333
re161227OF,0.940321180683395
re161604OF,0.7325837155582444
re161607OF,0.7825477523423408
re161612OF,0.9238268051220403
re161613OF,0.7894249996784293
re161718OF,0.1629556802697859
re161720OF,0.1425908144689011
re161721OF,0.39378376845211127
re161723OF,0.8909972703575963
re161724OF,0.5564568718812086
re161725OF,0.4208547489840496
re161726OF,0.5182913846340294
re161811OF,0.9280018144199453
re161812OF,0.9291381998964316
re161907OF,0.9174557496008172
re162107OF,0.8761362240284275
re162208OF,0.7712915986012724
re162213OF,0.9508531223404123
re162216OF,0.8557673992724704
re162307OF,0.5747443673430364
re162413OF,0.21504443719336785
re162509OF,0.47823551963857236
re162510OF,0.9170173422113581
re162711OF,0.9408443869050747
re162714OF,0.923169213245678
re162907OF,0.04472530638619776
re163109OF,0.9286213577109036
re163110OF,0.5654397337519933
re163113OF,0.20623569191425384
re163114OF,0.2693803360961714
re163115OF,0.2351936937707476
re163118OF,0.738165795587594
re163209OF,0.31636217440813064
re163407OF,0.9595416527062012
re163808OF,0.9568216562788109
re163821OF,0.94753618038721
re164205OF,0.6663303188185721
re164304OF,0.22001360945723414
re164401OF,0.8492803296754583
re164402OF,0.22548244582013877
re164508OF,0.928305215701653
re164809OF,0.8275155241432005
re164811OF,0.474647912300433
re164908OF,0.8647795750732389
re165309OF,0.979019566684872
re165310OF,0.9351477233231817
re165312OF,0.29545216660972784
re165511OF,0.9169782611461984
re165515OF,0.4057499011721878
re165519OF,0.7028705904299956
re165520OF,0.5857032262954277
re165521OF,0.8930742711641187
re165522OF,0.13765437647998957
re165523OF,0.33612333202571865
re165524OF,0.34404839122926356
re165525OF,0.8590517404030387
re165806OF,0.9433819428731881
re166802OF,0.9453936154662063
re167301OF,0.7571660274418879
re167503OF,0.02711214087170044
re167702OF,0.9032333230244858
re167703OF,0.9021933237359957
re168203OF,0.3891878161011555
re168204OF,0.19043429828356462
re180003OF,0.9333935292958943
re200002OF,0.9676736955816194
re202015OF,0.9785481168184066
re202017OF,0.9304102958820822
re202021OF,0.9383777913480855
re202025OF,0.9546522135260913
re202211OF,0.8335561404250122
re206012OF,0.7306237642832035
re213010OF,0.9595647088464518
re217016OF,0.9334802280441905
re217017OF,0.836217444245499
re217019OF,0.7157970118590342
re217027OF,0.9220606477112662
re233010OF,0.9249337009078622
re240014OF,0.9616428894714882
re240016OF,0.9557441643822278
re257060OF,0.7031540825354998
re270010OF,0.9801112593285768
re270026OF,0.8660749750844903
re290010OF,0.9370889669178584
re310318OF,0.8908409257878009
re310398OF,0.8086637814124797
re320010OF,0.9148223762506955
re320014OF,0.8742233008338974
re320020OF,0.433475532057774
re320022OF,0.8342752471097571
re340006OF,0.7862850812795246
re360001OF,0.7151673802392696
re370023OF,0.9053877496876002
re376510OF,0.829667491198477
re399001OF,0.9151860063249186
re399011OF,0.6520985943036921
re410008OF,0.9566879569332613
re410010OF,0.8447386408435722
re450008OF,0.4752311688844184
re450009OF,0.5973479302199967
re460220OF,0.9624993729180203
re460300OF,0.832445722880465
re470007OF,0.9790274641095085
re470068OF,0.9316053415673448
re481009OF,0.9345903671851145
re481012OF,0.8721388217234014
re501005OF,0.7964730536993422
re501006OF,0.7967344497680747
re501007OF,0.7886132445886211
re501008OF,0.7884602851339861
re501009OF,0.7485686725176488
re501010OF,0.7494320857049388
re501011OF,0.7270270923393873
re501012OF,0.7266811706868483
re501019OF,0.72487003182866
re501025OF,0.5154438814171087
re501029OF,0.8959974673785207
re501030OF,0.8738595105660594
re501031OF,0.8738041331039916
re501050OF,0.7295188495032287
re502000OF,0.9189800402969378
re502003OF,0.2430913049667598
re502006OF,0.9344936949845223
re502010OF,0.7384474719431418
re502013OF,0.19607867475834784
re502020OF,0.4070766068705908
re502023OF,0.21194458966370988
re502048OF,0.2988801699975885
re502053OF,0.3616054559285533
re502056OF,0.4794666921194104
re510010OF,0.9501435164461923
re510020OF,0.9473232858981716
re510030OF,0.9572886669996942
re510050OF,0.9352184973796382
re510060OF,0.9568264546542108
re510090OF,0.9286836430708354
re510110OF,0.9358184888165234
re510120OF,0.9324820594037846
re510130OF,0.9634850222259673
re510150OF,0.8370908988096011
re510160OF,0.9388338541503056
re510170OF,0.7025567544232391
re510180OF,0.9527116148726537
re510190OF,0.9346826017614814
re510210OF,0.9779925649693525
re510220OF,0.962274485049656
re510230OF,0.8142249861954423
re510270OF,0.966299660088715
re510290OF,0.9537052323078817
re510300OF,0.9742753901809976
re510310OF,0.9796635642843647
re510330OF,0.9475234982780153
re510360OF,0.9795063931178374
re510410OF,0.6768437929105351
re510440OF,0.9544097602683407
re510500OF,0.9419736767486704
re510510OF,0.9415736249078729
re510560OF,0.9351427558077463
re510580OF,0.9201595987948026
re510630OF,0.6318169767786076
re510650OF,0.9332687492067838
re510660OF,0.719609839865123
re510680OF,0.9431653892358738
re510710OF,0.9466334215714189
re510810OF,0.8356805504303491
re510880OF,0.8087476313152848
re512000OF,0.7794978912941453
re512010OF,0.6362866996367154
re512070OF,0.8494806736473288
re512100OF,0.9493027915132548
re512120OF,0.7323474245979342
re512220OF,0.7245408281833343
re512330OF,0.7244069286638679
re512500OF,0.9400601798032279
re512510OF,0.934834065719876
re512580OF,0.8543298568448119
re512600OF,0.7316748476988414
re512610OF,0.7417030980109431
re512640OF,0.9256652624959524
re512660OF,0.6951425529269394
re512680OF,0.6946495699912368
re512810OF,0.7042117174847476
re512880OF,0.7803056172750509
re512900OF,0.7782264858939001
re512990OF,0.9702830065577642
re513660OF,0.5255894904468128
re519027OF,0.936771958788154
re519032OF,0.9292106683265051
re519034OF,0.7399201087849331
re519100OF,0.9582475826786505
re519116OF,0.9225261090199981
re519117OF,0.9499449969132591
re519180OF,0.9734573050999031
re519193OF,0.7361228767414143
re519300OF,0.9124275293591585
re519606OF,0.7522282899854729
re519671OF,0.7543825812356431
re519673OF,0.8564650729344778
re519677OF,0.9491036597350068
re519686OF,0.9514457962895597
re519706OF,0.9136809452258661
re519714OF,0.3781122901627053
re519935OF,0.5903533558781597
re519965OF,0.8787662287811739
re519975OF,0.8165530594750796
re530010OF,0.9289240805465362
re530015OF,0.8942321606069378
re530018OF,0.9312545706208663
re540006OF,0.8915909931874805
re540007OF,0.8572729067631784
re540008OF,0.5258489264485595
re540009OF,0.7150768255961808
re540010OF,0.5187664835985369
re540012OF,0.499551713615228
re580008OF,0.7171380026221925
re585001OF,0.8426079558855197
re590007OF,0.3578217910924957
re660008OF,0.9787243584075077
re660011OF,0.9415794897201558
re673090OF,0.72032336638863
re673100OF,0.7509588309602299
re690008OF,0.6634918041641039
re700002OF,0.9244317029132609
re740101OF,0.9704647657304987
re960000OF,0.8909787473165854
re960022OF,0.954152620088385
