,thscode,ths_fund_scale_fund
0,000008.OF,2080548802.99
1,000042.OF,211956102.56
2,000051.OF,10884290343.41
3,000059.OF,200907005.44
4,000082.OF,750557752.4700001
5,000176.OF,2519554248.39
6,000248.OF,5363262344.280001
7,000309.OF,388137632.75
8,000311.OF,5252175293.040001
9,000312.OF,798219952.7799999
10,000313.OF,744562058.0
11,000326.OF,295743401.1800001
12,000368.OF,250949107.58
13,000373.OF,44612288.62
14,000376.OF,71555431.82000002
15,000409.OF,3981710078.58
16,000411.OF,39151067.94
17,000418.OF,394182795.32
18,000457.OF,1468625309.89
19,000471.OF,786510369.6
20,000478.OF,4892622840.26
21,000512.OF,188477137.17
22,000513.OF,1560870877.12
23,000524.OF,207488517.51
24,000549.OF,112662097.62
25,000577.OF,2833824397.31
26,000586.OF,341302005.26
27,000592.OF,1019405324.26
28,000594.OF,832293757.7399999
29,000596.OF,1063564506.98
30,000613.OF,2940551968.47
31,000628.OF,4561607285.400001
32,000656.OF,366363836.8600001
33,000688.OF,30769756.22
34,000696.OF,5861786725.48
35,000697.OF,3563637252.300001
36,000711.OF,1307125561.79
37,000729.OF,2238819376.97
38,000746.OF,3164199323.01
39,000751.OF,10661215853.47
40,000756.OF,216289326.5200001
41,000761.OF,10093957.61
42,000778.OF,360776513.8199999
43,000780.OF,941220294.5100002
44,000793.OF,1384786468.19
45,000803.OF,169619988.51
46,000826.OF,134727832.02
47,000827.OF,276507984.21
48,000828.OF,5679251198.16
49,000831.OF,4964980613.749999
50,000835.OF,246698046.3500001
51,000854.OF,962344833.7999998
52,000866.OF,276298678.21
53,000867.OF,106305497.14
54,000884.OF,250203721.7
55,000893.OF,695285225.4599999
56,000913.OF,2635609153.2
57,000916.OF,279486219.52
58,000925.OF,2048756569.05
59,000942.OF,742470500.5200001
60,000948.OF,839358502.2799999
61,000950.OF,1187413743.18
62,000955.OF,460796677.2300001
63,000960.OF,3468921583.719999
64,000961.OF,2767827534.999999
65,000962.OF,1608044044.81
66,000968.OF,980191291.0100002
67,000971.OF,1542582334.73
68,000974.OF,316943878.82
69,000975.OF,147995463.52
70,000978.OF,850554415.0
71,000979.OF,1858067243.68
72,000985.OF,1363916606.82
73,000991.OF,4693110018.6
74,000996.OF,1141732525.04
75,001008.OF,1003735518.74
76,001009.OF,647426013.3200002
77,001015.OF,1090773540.99
78,001016.OF,412178241.5600001
79,001027.OF,769731916.34
80,001028.OF,440085795.44
81,001036.OF,502366735.29
82,001039.OF,1487895006.31
83,001040.OF,812172047.9099998
84,001042.OF,1372016071.35
85,001043.OF,1796956848.08
86,001044.OF,1063678798.98
87,001047.OF,363207994.7000001
88,001048.OF,1084778480.05
89,001050.OF,1147727382.67
90,001051.OF,1852602204.02
91,001052.OF,2562708758.79
92,001054.OF,10370606890.38
93,001064.OF,1307874969.98
94,001070.OF,1067481846.39
95,001072.OF,925842163.77
96,001097.OF,153235406.91
97,001104.OF,1226857845.29
98,001105.OF,267195848.19
99,001113.OF,2059971124.42
100,001126.OF,2318124952.7
101,001133.OF,176630156.71
102,001149.OF,9301782.979999999
103,001158.OF,2370017998.24
104,001162.OF,64139175.09
105,001163.OF,717967523.3600001
106,001166.OF,1143293124.04
107,001167.OF,302988786.02
108,001171.OF,3664137381.670001
109,001178.OF,832560061.8499999
110,001180.OF,898761450.0699998
111,001186.OF,1807724086.11
112,001188.OF,534997577.4300001
113,001193.OF,338211765.96
114,001195.OF,734501653.3299998
115,001208.OF,760828168.9099998
116,001214.OF,175935261.69
117,001223.OF,113947508.77
118,001230.OF,2041737655.72
119,001236.OF,1174928704.43
120,001237.OF,240704048.33
121,001241.OF,291705787.47
122,001242.OF,200382177.72
123,001243.OF,83304168.73999998
124,001245.OF,5789693555.41
125,001277.OF,330376366.36
126,001291.OF,236456071.9500001
127,001313.OF,644261634.5
128,001319.OF,385516597.74
129,001351.OF,51321660.16999999
130,001361.OF,298406107.26
131,001396.OF,322625117.7599999
132,001397.OF,54338911.68
133,001404.OF,1612561895.49
134,001409.OF,4459095785.78
135,001410.OF,17477493124.55999
136,001416.OF,1524531863.64
137,001420.OF,225817087.14
138,001421.OF,198473450.21
139,001426.OF,44340963.55
140,001455.OF,73176612.56
141,001469.OF,1045288352.46
142,001473.OF,271765747.9999999
143,001476.OF,1733505492.79
144,001482.OF,53550717.26000001
145,001490.OF,983398953.7600003
146,001496.OF,473279548.4999999
147,001521.OF,520055208.83
148,001528.OF,230029758.25
149,001539.OF,45781033.56
150,001541.OF,289595333.71
151,001542.OF,1142337492.95
152,001548.OF,1022605653.82
153,001549.OF,1330533303.1
154,001550.OF,478990112.49
155,001551.OF,840127773.05
156,001552.OF,1299229813.7
157,001553.OF,1888531576.87
158,001577.OF,168351174.81
159,001583.OF,317073676.43
160,001588.OF,19270010.34
161,001589.OF,31608021.73
162,001592.OF,830404327.88
163,001593.OF,2801133915.779999
164,001594.OF,2566788464.409999
165,001595.OF,6294159261.29
166,001605.OF,5534824293.549998
167,001616.OF,5936783203.53
168,001617.OF,314713604.92
169,001618.OF,743050159.4700001
170,001626.OF,79719047.01999998
171,001628.OF,187978924.76
172,001629.OF,358910352.2600001
173,001630.OF,1170102086.09
174,001631.OF,1857225080.08
175,001632.OF,6306382362.979999
176,001637.OF,648173570.1900002
177,001638.OF,10149747.22
178,001643.OF,2586604839.77
179,001644.OF,1462389013.89
180,001645.OF,1864403325.75
181,001651.OF,385778559.47
182,001672.OF,453814860.2400001
183,001677.OF,457909282.6200001
184,001685.OF,341586056.31
185,001692.OF,208848812.5
186,001703.OF,374323691.24
187,001705.OF,3214940581.82
188,001714.OF,12654481482.69
189,001717.OF,17625156252.85
190,001718.OF,5530503385.19
191,001719.OF,250280101.77
192,001725.OF,2115224503.49
193,001726.OF,454638253.9900001
194,001733.OF,181090350.47
195,001736.OF,5269189280.27
196,001764.OF,1158025563.16
197,001766.OF,1377044161.28
198,001781.OF,17551716.93
199,001825.OF,538791849.75
200,001849.OF,13786031.34
201,001877.OF,1970259060.09
202,001878.OF,3103128474.34
203,001899.OF,23317496.39
204,001915.OF,636964635.26
205,001917.OF,124034554.27
206,001938.OF,18078975798.66
207,001956.OF,1168900498.23
208,001974.OF,1428619606.71
209,001975.OF,9467571405.620003
210,002063.OF,5808263.33
211,002121.OF,5725655068.339999
212,002168.OF,6058031109.690001
213,002199.OF,563126771.6300001
214,002210.OF,307502577.9399999
215,002229.OF,1445383456.23
216,002236.OF,65840587.76
217,002300.OF,265643992.9999999
218,002310.OF,168042124.51
219,002311.OF,496182732.99
220,002315.OF,278085074.4599999
221,002316.OF,293703031.9100001
222,002332.OF,858878836.14
223,002333.OF,71580821.77
224,002334.OF,14166653.09
225,002335.OF,1499991.06
226,002385.OF,894994499.7799999
227,002387.OF,2869763905.73
228,002510.OF,485950435.5299999
229,002556.OF,58126999.99000001
230,002595.OF,74467337.46
231,002621.OF,1745157118.67
232,002656.OF,1683372292.33
233,002670.OF,472695451.68
234,002671.OF,140991157.5
235,002697.OF,859666716.86
236,002871.OF,94409529.43
237,002872.OF,235662902.18
238,002900.OF,285240837.62
239,002903.OF,1209658742.66
240,002906.OF,570087061.92
241,002907.OF,150560599.77
242,002952.OF,12165530.7
243,002974.OF,257161826.0300001
244,002977.OF,48036262.44999999
245,002978.OF,195655804.56
246,002979.OF,920410951.45
247,002980.OF,2127888078.13
248,002982.OF,118373026.53
249,002984.OF,531761034.7499999
250,002987.OF,274810505.14
251,003015.OF,195887272.86
252,003016.OF,326457937.0900001
253,003017.OF,668615461.2300001
254,003053.OF,104753714.86
255,003054.OF,40983190.28999999
256,003145.OF,273811006.57
257,003190.OF,61980738.46000002
258,003191.OF,228014678.2
259,003194.OF,203879720.6
260,003230.OF,444372727.6500001
261,003231.OF,479428841.8900001
262,003232.OF,16403090.28
263,003233.OF,13357106.56
264,003298.OF,309414814.5699999
265,003299.OF,159093376.2
266,003318.OF,1569219668.83
267,003359.OF,32204854.44000001
268,003366.OF,8804072.32
269,003416.OF,9912809.440000001
270,003475.OF,7072546.8
271,003548.OF,47621157.85999999
272,003578.OF,144563730.64
273,003579.OF,103427870.92
274,003624.OF,565868969.63
275,003625.OF,481754009.46
276,003634.OF,2589055383.45
277,003646.OF,56273458.3
278,003647.OF,167082455.21
279,003853.OF,1809802849.1
280,003865.OF,136920971.98
281,003876.OF,640003030.7599999
282,003884.OF,175616678.74
283,003885.OF,249502053.8099999
284,003956.OF,541901601.9100001
285,003957.OF,150804118.07
286,003958.OF,151360338.1
287,003984.OF,5978103069.15
288,003985.OF,1722533117.15
289,003986.OF,1967313804.760001
290,004069.OF,2204200744.4
291,004070.OF,6420707382.070001
292,004075.OF,3800315558.73
293,004189.OF,37240440.07000001
294,004190.OF,265501136.43
295,004191.OF,170114826.17
296,004194.OF,107639184.42
297,004195.OF,88390129.67
298,004241.OF,4242555619.98
299,004342.OF,144072356.44
300,004343.OF,642531470.0500002
301,004344.OF,18620111.0
302,004345.OF,12620041.16
303,004346.OF,2372024.42
304,004347.OF,353322880.46
305,004348.OF,520051728.2300001
306,004408.OF,23175198.97
307,004409.OF,14483248.3
308,004410.OF,24209853.77
309,020011.OF,1221682744.94
310,020021.OF,360163998.91
311,040002.OF,1740840564.87
312,040180.OF,169955773.82
313,040190.OF,45497501.50000001
314,050002.OF,4931039651.99
315,050013.OF,99074191.85
316,050021.OF,331750861.85
317,050024.OF,272781836.09
318,070023.OF,395128187.2300001
319,070030.OF,68674243.35000001
320,090010.OF,2980308866.25
321,090012.OF,117962033.9
322,100032.OF,5388726515.099999
323,100038.OF,6254904653.65
324,100053.OF,171975714.6000001
325,110003.OF,21664704199.32
326,110019.OF,1531066237.81
327,110020.OF,6413413270.73
328,110021.OF,199117193.76
329,110022.OF,31053122227.26
330,110026.OF,4163118408.640001
331,110030.OF,998051308.1200001
332,159901.OF,8102496184.77
333,159902.OF,954022805.6300002
334,159903.OF,297368126.22
335,159905.OF,3686878878.19
336,159906.OF,145584713.97
337,159907.OF,122022246.71
338,159908.OF,594887968.62
339,159909.OF,186265470.06
340,159910.OF,467066430.7399999
341,159912.OF,96039748.16
342,159913.OF,51896117.76
343,159915.OF,12629405495.17
344,159916.OF,464274609.8099998
345,159918.OF,75325616.58999999
346,159919.OF,22723669644.57
347,159922.OF,3690907858.29
348,159923.OF,24058709.18000001
349,159925.OF,1984703540.88
350,159928.OF,11664387325.42
351,159929.OF,996015287.68
352,159930.OF,193780067.08
353,159931.OF,76045930.78
354,159932.OF,41827952.85
355,159933.OF,177214831.84
356,159935.OF,74087208.0
357,159936.OF,225457688.66
358,159938.OF,1737271607.65
359,159939.OF,1389607045.21
360,159940.OF,2059111039.929999
361,159943.OF,105984256.93
362,159944.OF,24975978.59000001
363,159945.OF,64079362.56
364,159948.OF,2332145444.52
365,159949.OF,8768793977.830002
366,160119.OF,8613169006.790005
367,160133.OF,1821840262.88
368,160135.OF,249331950.2899999
369,160137.OF,96443122.96
370,160218.OF,710006425.6700001
371,160219.OF,1236808193.31
372,160221.OF,2554024656.62
373,160222.OF,7200263448.480001
374,160223.OF,175105514.12
375,160225.OF,3071174054.44
376,160322.OF,1898941740.13
377,160516.OF,830315166.6400001
378,160517.OF,1014095129.09
379,160615.OF,1656114517.87
380,160616.OF,376703114.66
381,160620.OF,212438987.47
382,160625.OF,1188804948.22
383,160626.OF,474983805.4399999
384,160628.OF,376257716.03
385,160629.OF,918767768.0199999
386,160630.OF,5223578256.129999
387,160631.OF,1091207641.34
388,160632.OF,3696376781.17
389,160633.OF,1575338837.73
390,160634.OF,531682953.8
391,160635.OF,115629974.68
392,160636.OF,57492838.99
393,160637.OF,123548507.9
394,160638.OF,352825237.52
395,160639.OF,112032046.86
396,160706.OF,11905617409.92
397,160716.OF,985817035.48
398,160806.OF,156257260.74
399,160807.OF,320663399.62
400,160814.OF,55884146.78
401,160919.OF,395279752.58
402,161017.OF,8195418002.690002
403,161022.OF,1102547732.66
404,161024.OF,6479824941.78
405,161025.OF,504861209.6899999
406,161026.OF,3285224016.860001
407,161027.OF,2109816871.81
408,161028.OF,10953849547.97
409,161029.OF,1513357531.66
410,161030.OF,216281218.77
411,161031.OF,994636548.6700001
412,161032.OF,2350555488.53
413,161033.OF,372957185.22
414,161035.OF,575149154.4200001
415,161036.OF,92660578.05000001
416,161121.OF,1483115400.43
417,161122.OF,1090287252.78
418,161123.OF,537473354.44
419,161211.OF,178737566.19
420,161217.OF,309767210.3100001
421,161227.OF,396724314.63
422,161604.OF,5930557286.71
423,161607.OF,700696319.29
424,161612.OF,99696250.44
425,161613.OF,535309393.8200001
426,161718.OF,20444305.17
427,161720.OF,2884864237.57
428,161721.OF,626900756.7000002
429,161723.OF,1822483466.250001
430,161724.OF,2695452729.150001
431,161725.OF,70707162507.18001
432,161726.OF,14775943625.56
433,161811.OF,108898845.97
434,161812.OF,575686861.53
435,161907.OF,116371255.34
436,162107.OF,7726185.779999999
437,162208.OF,652453992.5500002
438,162213.OF,516271314.02
439,162216.OF,542189742.7699999
440,162307.OF,80669864.21
441,162413.OF,53699706.39000001
442,162509.OF,158163418.72
443,162510.OF,6394852.05
444,162711.OF,1608397884.41
445,162714.OF,36694799.33
446,162907.OF,25172897.14
447,163109.OF,283651473.64
448,163110.OF,653491461.7599999
449,163113.OF,2393454079.85
450,163114.OF,517173461.4
451,163115.OF,1194552305.78
452,163118.OF,281615785.1699999
453,163209.OF,128686230.68
454,163407.OF,4447379509.79
455,163808.OF,520228017.53
456,163821.OF,50069010.71999999
457,164205.OF,433580999.2499999
458,164304.OF,217126181.53
459,164401.OF,347261657.55
460,164402.OF,1995403373.91
461,164508.OF,29463306.02
462,164809.OF,138215223.29
463,164811.OF,12525837.64
464,164908.OF,228558590.75
465,165309.OF,457999514.67
466,165310.OF,295549880.1400001
467,165312.OF,399593338.16
468,165511.OF,239323010.18
469,165515.OF,258854135.4
470,165519.OF,292572299.51
471,165520.OF,2251578106.92
472,165521.OF,192920055.09
473,165522.OF,71279706.18
474,165523.OF,379881676.4300001
475,165524.OF,47408281.27999999
476,165525.OF,1065888782.21
477,165806.OF,7420393.290000001
478,166802.OF,469408495.47
479,167301.OF,5805758236.350001
480,167503.OF,133726145.09
481,167702.OF,10390929.62
482,167703.OF,34116272.71
483,168203.OF,508036537.41
484,168204.OF,884062370.55
485,180003.OF,2292132186.89
486,200002.OF,686163886.11
487,202015.OF,1380250751.37
488,202017.OF,188473228.23
489,202021.OF,272896818.66
490,202025.OF,136424290.56
491,202211.OF,218965098.32
492,206012.OF,335466668.6
493,213010.OF,240066869.09
494,217016.OF,287082421.06
495,217017.OF,265579518.83
496,217019.OF,155822291.94
497,217027.OF,600370942.39
498,233010.OF,56446217.59
499,240014.OF,930303220.0899999
500,240016.OF,73752122.46000001
501,257060.OF,145524570.95
502,270010.OF,1302237106.0
503,270026.OF,108498381.42
504,290010.OF,15525184.49
505,310318.OF,718535996.1400001
506,310398.OF,998034054.2900002
507,320010.OF,258536025.51
508,320014.OF,141937960.62
509,320020.OF,133047386.35
510,320022.OF,1067907464.7
511,340006.OF,2665813848.56
512,360001.OF,1858854682.44
513,370023.OF,33223652.94
514,376510.OF,356475261.5500001
515,399001.OF,264571828.5299999
516,399011.OF,1454921698.85
517,410008.OF,242992529.23
518,410010.OF,7858062.850000001
519,450008.OF,432071134.88
520,450009.OF,4781712188.450001
521,460220.OF,11907750.19
522,460300.OF,449071136.8899999
523,470007.OF,809737405.3199998
524,470068.OF,68945794.54
525,481009.OF,1672268820.01
526,481012.OF,1927757167.439999
527,501005.OF,1237308703.27
528,501006.OF,495475621.64
529,501007.OF,48413762.5
530,501008.OF,22912070.61
531,501009.OF,2044604370.05
532,501010.OF,1702869466.21
533,501011.OF,833943132.18
534,501012.OF,342219909.2600001
535,501019.OF,1114842709.45
536,501025.OF,371545978.9599999
537,501029.OF,981976267.7399999
538,501030.OF,442300199.83
539,501031.OF,208552579.72
540,501050.OF,2675712494.81
541,502000.OF,2244355469.87
542,502003.OF,674963498.65
543,502006.OF,110131253.94
544,502010.OF,1454656124.54
545,502013.OF,401993302.27
546,502020.OF,34270587.58000001
547,502023.OF,1504219074.649999
548,502048.OF,226641471.38
549,502053.OF,482956810.8899999
550,502056.OF,1039368090.14
551,510010.OF,253388939.87
552,510020.OF,119235010.6
553,510030.OF,115793137.78
554,510050.OF,69135067360.22
555,510060.OF,86376719.64999999
556,510090.OF,82761928.25
557,510110.OF,22773812.85
558,510120.OF,17332827.76000001
559,510130.OF,248553922.01
560,510150.OF,882984683.04
561,510160.OF,278400223.4000001
562,510170.OF,217714401.1300001
563,510180.OF,22886973650.41
564,510190.OF,59389693.88
565,510210.OF,461467152.74
566,510220.OF,29365442.42
567,510230.OF,4094607835.859999
568,510270.OF,12069584.15
569,510290.OF,159224905.56
570,510300.OF,56886059237.46001
571,510310.OF,10664575637.21
572,510330.OF,28908846530.65
573,510360.OF,1639519794.0
574,510410.OF,417880850.66
575,510440.OF,46431570.90000002
576,510500.OF,54543720989.01001
577,510510.OF,3119006815.81
578,510560.OF,282180998.5500001
579,510580.OF,1502958581.57
580,510630.OF,535406654.6700001
581,510650.OF,92719911.91000001
582,510660.OF,121506969.08
583,510680.OF,22914308.00999999
584,510710.OF,639312924.96
585,510810.OF,7412481366.599999
586,510880.OF,17773642881.33
587,512000.OF,23807490426.07
588,512010.OF,7526058959.36
589,512070.OF,3928304832.769999
590,512100.OF,2081949789.46
591,512120.OF,228240931.76
592,512220.OF,305545631.87
593,512330.OF,652037560.29
594,512500.OF,6012714767.83
595,512510.OF,559025460.53
596,512580.OF,2925844453.68
597,512600.OF,721917096.06
598,512610.OF,14778651.81
599,512640.OF,78051815.09999998
600,512660.OF,11898427893.09
601,512680.OF,3214689351.5
602,512810.OF,378847390.05
603,512880.OF,35855409377.59001
604,512900.OF,8833390878.290003
605,512990.OF,417928667.41
606,513660.OF,1268336998.92
607,519027.OF,11958591.81
608,519032.OF,9345702.09
609,519034.OF,30200755.42
610,519100.OF,311045860.24
611,519116.OF,891478086.0599998
612,519117.OF,26326114.55
613,519180.OF,887463594.1999998
614,519193.OF,551107060.03
615,519300.OF,1370163979.21
616,519606.OF,612400478.03
617,519671.OF,3297111250.369999
618,519673.OF,287960427.02
619,519677.OF,274129855.3
620,519686.OF,253857071.32
621,519706.OF,49692033.68999999
622,519714.OF,2259284676.66
623,519935.OF,27175673.12
624,519965.OF,170360487.4
625,519975.OF,512501367.5800001
626,530010.OF,82116736.76000002
627,530015.OF,454540176.81
628,530018.OF,101736181.38
629,540006.OF,1929260799.51
630,540007.OF,72914820.14000002
631,540008.OF,11314338800.6
632,540009.OF,215949039.89
633,540010.OF,561859878.59
634,540012.OF,314607747.61
635,580008.OF,255628284.39
636,585001.OF,72862079.79999998
637,590007.OF,28776436.4
638,660008.OF,506586624.0000001
639,660011.OF,63146827.52999999
640,673090.OF,108093321.73
641,673100.OF,713183702.0799999
642,690008.OF,175564876.0
643,700002.OF,114148011.36
644,740101.OF,40423413.6
645,960000.OF,180606129.04
646,960022.OF,0.0
